Y,X,P29_001,P29_002,P29_003,P29_004,P29_005,P29_006,P29_007
36.601675,137.263628,16201,C116320136013,16002,片山学園中学校,富山市東黒牧10,4,0
36.705161,137.194787,16201,C116110000011,16002,富山大学人間発達科学部附属中学校,富山市五艘1300,1,1
36.696584,137.203768,16201,C116220130011,16002,芝園中学校,富山市芝園町3-1-26,3,1
36.674749,137.222757,16201,C116220130020,16002,堀川中学校,富山市堀川小泉町1-21-15,3,1
36.691219,137.242532,16201,C116220130039,16002,東部中学校,富山市長江新町4-4-60,3,1
36.703467,137.189121,16201,C116220130048,16002,西部中学校,富山市五福130,3,1
36.682747,137.206536,16201,C116220130057,16002,南部中学校,富山市西田地方町2-10-10,3,1
36.747908,137.249614,16201,C116220130066,16002,北部中学校,富山市東富山寿町2-4-52,3,1
36.69433,137.25367,16201,C116220130075,16002,新庄中学校,富山市荒川5-4-18,3,1
36.742657,137.232754,16201,C116220130084,16002,岩瀬中学校,富山市蓮町4-3-10,3,1
36.668556,137.240533,16201,C116220130093,16002,山室中学校,富山市山室30-1,3,1
36.701856,137.225728,16201,C116220130100,16002,奥田中学校,富山市奥井町25-10,3,1
36.679193,137.228395,16201,C116220130119,16002,大泉中学校,富山市大泉東町2-11-26,3,1
36.616867,137.252062,16201,C116220130128,16002,月岡中学校,富山市中布目156,3,1
36.711882,137.164707,16201,C116220130137,16002,呉羽中学校,富山市呉羽町6662,3,1
36.751269,137.30708,16201,C116220130146,16002,水橋中学校,富山市水橋舘町443,3,1
36.72244,137.31272,16201,C116220130155,16002,三成中学校,富山市水橋石割70,3,1
36.748988,137.185453,16201,C116220130164,16002,和合中学校,富山市布目3967,3,1
36.634254,137.212009,16201,C116220130173,16002,興南中学校,富山市下熊野728,3,1
36.691776,137.273446,16201,C116220130182,16002,藤ノ木中学校,富山市日俣222,3,1
36.590647,137.214038,16201,C116220130191,16002,大沢野中学校,富山市八木山550,3,1
36.610452,137.291919,16201,C116220130208,16002,上滝中学校,富山市中滝160,3,1
36.585529,137.132391,16201,C116220130217,16002,八尾中学校,富山市八尾町福島上野250,3,1
36.605709,137.163735,16201,C116220130226,16002,杉原中学校,富山市八尾町大杉84,3,1
36.655877,137.16476,16201,C116220130235,16002,速星中学校,富山市婦中町板倉345-1,3,1
36.644245,137.122528,16201,C116220130244,16002,城山中学校,富山市婦中町河原町561-5,3,1
36.584443,137.080738,16201,C116220130253,16002,山田中学校,富山市山田北山41,3,1
36.535599,137.233177,16201,C116220130262,16002,楡原中学校,富山市楡原405,3,1
36.759751,137.260341,16201,C116220130271,16002,北部中学校松風分校,富山市針日225,3,1
36.742542,137.02422,16202,C116220230010,16002,高陵中学校,高岡市高陵町4-1,3,1
36.754096,136.994889,16202,C116220230029,16002,高岡西部中学校,高岡市美幸町2-4-1,3,1
36.736514,137.000195,16202,C116220230038,16002,南星中学校,高岡市木津1395,3,1
36.755096,137.024469,16202,C116220230047,16002,志貴野中学校,高岡市広小路7-1,3,1
36.737514,137.020748,16202,C116220230056,16002,芳野中学校,高岡市駅南2-5-1,3,1
36.794481,137.048772,16202,C116220230065,16002,伏木中学校,高岡市伏木古府3-1-1,3,1
36.773122,137.068799,16202,C116220230074,16002,牧野中学校,高岡市上牧野123-1,3,1
36.72857,136.9652,16202,C116220230083,16002,五位中学校,高岡市立野500,3,1
36.675548,136.982284,16202,C116220230092,16002,戸出中学校,高岡市戸出光明寺2000,3,1
36.68391,137.013696,16202,C116220230109,16002,中田中学校,高岡市中田260,3,1
36.705692,136.916201,16202,C116220230118,16002,福岡中学校,高岡市福岡町荒屋敷350,3,1
36.814015,137.402152,16204,C116220430018,16002,西部中学校,魚津市友道212,3,1
36.831375,137.412761,16204,C116220430027,16002,東部中学校,魚津市吉島1934,3,1
