Y,X,P29_001,P29_002,P29_003,P29_004,P29_005,P29_006,P29_007
36.670023,137.001587,16202,F116310105336,16007,高岡法科大学,高岡市戸出石代307-3,4,0
36.600175,137.274866,16201,F116310105345,16007,富山国際大学,富山市東黒牧65-1,4,0
36.71752,137.164874,16201,F116310105354,16007,桐朋学園大学院大学,富山市呉羽町1884-17,4,0
36.721241,137.139515,16201,F216310105362,16006,富山短期大学,富山市願海寺水口444,4,0
36.725739,137.096186,16211,F216310105371,16006,富山福祉短期大学,射水市三ｹ579,4,0
36.698578,137.186816,16201,F116110105312,16007,富山大学,富山市五福3190,1,1
36.70602,137.09827,16211,F116210105329,16007,富山県立大学,射水市黒河5180,2,1
36.680135,137.142935,16201,F116110105312,16007,富山大学,富山市杉谷2630,1,1
36.722069,137.139639,16201,F116310105345,16007,富山国際大学,富山市願海寺水口444,4,1
36.773764,137.022599,16202,F116110105312,16007,富山大学,高岡市二上町180,1,1
