Y,X,P29_001,P29_002,P29_003,P29_004,P29_005,P29_006,P29_007
36.69734,137.260842,16201,H216320185011,16015,富山自動車学校,富山市新庄町85,4,0
36.701983,137.182877,16201,H216320185020,16015,北日本自動車学校,富山市五福4186,4,0
36.67059,137.177029,16201,H216320185048,16015,富山県中央自動車学校,富山市婦中町田島1122,4,0
36.678094,137.260201,16201,H216320185057,16015,富山中部自動車学校,富山市町村59,4,0
36.721469,137.14965,16201,H216320185066,16015,呉羽自動車学校,富山市本郷2444,4,0
36.744161,137.03978,16202,H216320285010,16015,高岡自動車学校,高岡市蓮花寺735,4,0
36.771769,137.047103,16202,H216320285029,16015,高新自動車学校,高岡市能町1789,4,0
36.724673,136.968778,16202,H216320285038,16015,北陸自動車学校,高岡市中保75,4,0
36.839211,136.994195,16205,H216320585017,16015,氷見自動車学校,氷見市窪1850,4,0
36.753509,137.33167,16206,H216320685016,16015,滑川自動車学校,滑川市菰原168,4,0
36.861773,137.423949,16207,H216320785015,16015,黒部自動車学校,黒部市犬山54,4,0
36.64421,136.938672,16208,H216320885014,16015,砺波自動車学校,砺波市鷹栖出860,4,0
36.67168,136.855076,16209,H216320985013,16015,小矢部自動車学校,小矢部市野端303,4,0
36.541737,136.873931,16210,H216321085010,16015,南砺自動車学校,南砺市高宮6480,4,0
36.731607,137.063498,16211,H216321185019,16015,富山県第一自動車学校,射水市小島715,4,0
36.942303,137.494308,16342,H216334285011,16015,入善自動車学校,下新川郡入善町田中111,4,0
