Y,X,P29_001,P29_002,P29_003,P29_004,P29_005,P29_006,P29_007
36.685137,137.238671,16201,D116320156016,16004,不二越工業高等学校,富山市東石金町7-5,4,0
36.701328,137.219534,16201,D116320156025,16004,龍谷富山高等学校,富山市赤江町2-10,4,0
36.706176,137.265578,16201,D116320156034,16004,富山第一高等学校,富山市向新庄町5-1-54,4,0
36.748769,137.252975,16201,D116320156043,16004,高朋高等学校,富山市東富山寿町1-1-39,4,0
36.721852,137.140293,16201,D116320156052,16004,富山国際大学付属高等学校,富山市願海寺水口444,4,0
36.602279,137.260686,16201,D116320156061,16004,片山学園高等学校,富山市東黒牧10,4,0
36.757734,136.999194,16202,D116320256015,16004,高岡第一学園高岡第一高等学校,高岡市本郷2-1-1,4,0
36.753204,137.043474,16202,D116320256024,16004,高岡向陵高等学校,高岡市石瀬281-1,4,0
36.753512,137.033941,16202,D116320256033,16004,高岡龍谷高等学校,高岡市古定塚4-1,4,0
36.823459,137.424233,16204,D116320456013,16004,新川高等学校,魚津市吉島1350,4,0
36.590009,137.245591,16201,D116220150014,16004,中央農業高等学校,富山市東福沢2,2,1
36.584878,137.131317,16201,D116220150023,16004,八尾高等学校,富山市八尾町福島213,2,1
36.658654,137.164808,16201,D116220150032,16004,富山西高等学校,富山市婦中町速星926,2,1
36.671971,137.217563,16201,D116220150041,16004,富山高等学校,富山市太郎丸1,2,1
36.695884,137.203869,16201,D116220150050,16004,富山中部高等学校,富山市芝園町3-1-26,2,1
36.742185,137.234504,16201,D116220150069,16004,富山北部高等学校,富山市蓮町4-3-20,2,1
36.698717,137.193315,16201,D116220150078,16004,富山工業高等学校,富山市五福2238,2,1
36.693051,137.188344,16201,D116220150087,16004,富山商業高等学校,富山市庄高田413,2,1
36.675054,137.22059,16201,D116220150096,16004,富山いずみ高等学校,富山市堀川小泉町1-21-1,2,1
36.741019,137.256669,16201,D116220150103,16004,富山東高等学校,富山市下飯野荒田6-1,2,1
36.648891,137.236979,16201,D116220150112,16004,富山南高等学校,富山市布市98,2,1
36.73927,137.299748,16201,D116220150121,16004,水橋高等学校,富山市水橋中村24,2,1
36.716853,137.161346,16201,D116220150130,16004,呉羽高等学校,富山市呉羽町2070-5,2,1
36.701284,137.206719,16201,D116220150149,16004,雄峰高等学校,富山市神通町2-12-20,2,1
36.751596,137.029247,16202,D116220250013,16004,高岡高等学校,高岡市中川園町1-1,2,1
36.751013,137.001416,16202,D116220250022,16004,高岡西高等学校,高岡市横田町3-4-1,2,1
36.750207,137.02633,16202,D116220250031,16004,高岡工芸高等学校,高岡市中川1-1-20,2,1
36.75779,136.99325,16202,D116220250040,16004,高岡商業高等学校,高岡市横田286,2,1
36.801674,137.048799,16202,D116220250059,16004,伏木高等学校,高岡市伏木一宮2-11-1,2,1
36.685408,136.978562,16202,D116220250068,16004,高岡南高等学校,高岡市戸出町3-4-2,2,1
36.742842,137.014284,16202,D116220250077,16004,志貴野高等学校,高岡市末広町1-7,2,1
36.703156,136.927288,16202,D116220250086,16004,福岡高等学校,高岡市福岡町上蓑561,2,1
36.848402,137.429926,16204,D116220450011,16004,新川みどり野高等学校,魚津市木下新144,2,1
36.830125,137.412206,16204,D116220450020,16004,魚津高等学校,魚津市吉島945,2,1
36.853374,137.421066,16204,D116220450039,16004,魚津工業高等学校,魚津市浜経田3338,2,1
36.85347,136.980053,16205,D116220550010,16004,氷見高等学校,氷見市幸町17-1,2,1
36.758714,137.331411,16206,D116220650019,16004,滑川高等学校,滑川市加島町45,2,1
36.870372,137.449146,16207,D116220750018,16004,桜井高等学校,黒部市三日市1334,2,1
36.636194,136.961535,16208,D116220850017,16004,砺波高等学校,砺波市東幸町3-36,2,1
36.630748,136.932289,16208,D116220850026,16004,砺波工業高等学校,砺波市鷹栖285-1,2,1
36.674963,136.861489,16209,D116220950016,16004,石動高等学校,小矢部市西町6-33,2,1
36.658716,136.908791,16209,D116220950025,16004,石動高等学校小矢部園芸高等学校,小矢部市西中210,2,1
36.618666,136.901515,16209,D116220950034,16004,となみ野高等学校,小矢部市清水95-1,2,1
36.590032,136.928402,16210,D116221050013,16004,南砺福野高等学校,南砺市苗島443,2,1
36.431302,136.953875,16210,D116221050022,16004,南砺平高等学校,南砺市大島1203,2,1
36.557784,136.863714,16210,D116221050031,16004,南砺福光高等学校,南砺市福光710,2,1
36.7251,137.08602,16211,D116221150012,16004,小杉高等学校,射水市三ヶ1520-1,2,1
36.725044,137.063634,16211,D116221150021,16004,大門高等学校,射水市二口1-2,2,1
36.780899,137.075159,16211,D116221150030,16004,新湊高等学校,射水市西新湊21-10,2,1
36.70636,137.369993,16322,D116232250018,16004,上市高等学校,中新川郡上市町斉神新444,2,1
36.665529,137.309083,16323,D116232350017,16004,雄山高等学校,中新川郡立山町前沢1437-1,2,1
36.933724,137.505579,16342,D116234250014,16004,入善高等学校,下新川郡入善町入膳3963,2,1
36.952119,137.563823,16343,D116234350013,16004,泊高等学校,下新川郡朝日町道下603,2,1
36.650808,137.243867,16201,G116110105383,16005,富山高等専門学校,富山市本郷町13,1,1
36.758042,137.159289,16211,G116110105383,16005,富山高等専門学校,射水市海老江練合1-2,1,1
