Y,X,P29_001,P29_002,P29_003,P29_004,P29_005,P29_006,P29_007
36.703995,137.216748,16201,H116320180053,16016,富山クリエイティブ専門学校,富山市牛島新町2-3,4,0
36.709841,137.215505,16201,H116320180062,16016,富山県理容美容専門学校,富山市下新町32-26,4,0
36.680116,137.21668,16201,H116320180071,16016,臼井美容専門学校,富山市西中野本町7-13,4,0
36.690157,137.209986,16201,H116320180099,16016,富山市医師会看護専門学校,富山市総曲輪4-4-10,4,0
36.699348,137.190988,16201,H116320180106,16016,富山歯科総合学院,富山市五福五味原2741-2,4,0
36.681281,137.216144,16201,H116320180115,16016,北陸ビジネス福祉専門学校,富山市西中野本町1-6,4,0
36.699667,137.213413,16201,H116320180124,16016,富山大原簿記公務員医療専門学校,富山市桜町1-4-20,4,0
36.596833,137.280396,16201,H116320180133,16016,職藝学院,富山市東黒牧298,4,0
36.653996,137.117921,16201,H116320180142,16016,富山病院附属看護学校,富山市婦中町新町3145,0,0
36.720225,137.144132,16201,H116320180151,16016,富山自動車整備専門学校,富山市野々上13-1,4,0
36.690065,137.214276,16201,H116320180160,16016,富山ビューティーカレッジ,富山市総曲輪3-3-16,4,0
36.690895,137.210285,16201,H116320180179,16016,富山リハビリテーション医療福祉大学校,富山市総曲輪4-4-5,4,0
36.690996,137.210291,16201,H116320180188,16016,富山調理製菓専門学校,富山市総曲輪4-4-5,4,0
36.756595,136.999181,16202,H116320280016,16016,高岡第一学園幼稚園教諭・保育士養成所,高岡市本郷2-1-35,4,0
36.748959,137.017874,16202,H116320280025,16016,安川専門学校ロイモード学院,高岡市本丸町3-19,4,0
36.741792,137.016425,16202,H116320280034,16016,富山県高岡看護専門学校,高岡市下関町4-56,4,0
36.769791,137.358939,16206,H116320680012,16016,富山医療福祉専門学校,滑川市柳原149-9,4,0
36.725334,137.096905,16211,H116321180015,16016,富山情報ビジネス専門学校,射水市三ヶ576,4,0
36.6596,137.314608,16323,H116332380010,16016,雄山家政専修学校,中新川郡立山町前沢2967-2,4,0
36.693825,137.237714,16201,H116220180019,16016,富山県立総合衛生学院,富山市西長江2-2-78,2,0
36.671388,137.211822,16201,H116220180028,16016,富山市立看護専門学校,富山市今泉308-1,3,0
36.690355,137.211034,16201,H116220180037,16016,富山外国語専門学校,富山市大手町6-14,3,0
36.695711,137.147068,16201,H116220180046,16016,富山ガラス造形研究所,富山市西金屋80,3,0
