Y,X,P29_001,P29_002,P29_003,P29_004,P29_005,P29_006,P29_007
36.712194,137.099245,16211,B116321106019,16001,片山学園初等科,射水市戸破1511-5,4,0
36.705184,137.194787,16201,B116110000013,16001,富山大学人間発達科学部附属小学校,富山市五艘1300,1,1
36.696707,137.204284,16201,B116220100019,16001,芝園小学校,富山市芝園町3-1-26,3,1
36.684902,137.206487,16201,B116220100028,16001,西田地方小学校,富山市西田地方町1-1-25,3,1
36.686921,137.219382,16201,B116220100037,16001,中央小学校,富山市五番町4-35,3,1
36.694607,137.223062,16201,B116220100046,16001,柳町小学校,富山市柳町4-2-26,3,1
36.708299,137.199064,16201,B116220100055,16001,桜谷小学校,富山市田刈屋279,3,1
36.702164,137.184155,16201,B116220100064,16001,五福小学校,富山市五福4431-2,3,1
36.708022,137.221117,16201,B116220100073,16001,奥田小学校,富山市奥田双葉町10-18,3,1
36.719326,137.220645,16201,B116220100082,16001,奥田北小学校,富山市下新北町3-72,3,1
36.690108,137.235561,16201,B116220100091,16001,東部小学校,富山市石金1-5-44,3,1
36.701968,137.251809,16201,B116220100108,16001,新庄小学校,富山市新庄町1-6-30,3,1
36.711019,137.263028,16201,B116220100117,16001,新庄北小学校,富山市新庄本町2-4-11,3,1
36.686582,137.26803,16201,B116220100126,16001,藤ノ木小学校,富山市藤木1246,3,1
36.754184,137.230282,16201,B116220100135,16001,岩瀬小学校,富山市岩瀬御蔵町1,3,1
36.729798,137.267945,16201,B116220100144,16001,針原小学校,富山市針原中町523-1,3,1
36.758268,137.278777,16201,B116220100153,16001,浜黒崎小学校,富山市浜黒崎3301-2,3,1
36.746519,137.247503,16201,B116220100162,16001,大広田小学校,富山市田畑183,3,1
36.730292,137.241972,16201,B116220100171,16001,豊田小学校,富山市米田2-1,3,1
36.71343,137.246892,16201,B116220100180,16001,広田小学校,富山市鍋田22-53,3,1
36.686108,137.184567,16201,B116220100199,16001,神明小学校,富山市高田147-2,3,1
36.677026,137.220674,16201,B116220100206,16001,堀川小学校,富山市堀川小泉町1-13-10,3,1
36.663723,137.230479,16201,B116220100215,16001,堀川南小学校,富山市本郷町282-3,3,1
36.672499,137.20372,16201,B116220100224,16001,光陽小学校,富山市二口町1-4-1,3,1
36.678415,137.239866,16201,B116220100233,16001,山室小学校,富山市中市2-10-5,3,1
36.671806,137.253448,16201,B116220100242,16001,山室中部小学校,富山市山室荒屋162-2,3,1
36.653918,137.222258,16201,B116220100251,16001,蜷川小学校,富山市赤田75-1,3,1
36.653863,137.250533,16201,B116220100260,16001,太田小学校,富山市太田14-2,3,1
36.746435,137.229699,16201,B116220100279,16001,萩浦小学校,富山市高畠町2-11-28,3,1
36.629227,137.22112,16201,B116220100288,16001,熊野小学校,富山市宮保602,3,1
36.622506,137.252756,16201,B116220100297,16001,月岡小学校,富山市上千俵町500,3,1
36.634503,137.194761,16201,B116220100304,16001,新保小学校,富山市任海888-2,3,1
36.754738,137.195507,16201,B116220100313,16001,四方小学校,富山市四方405,3,1
36.740851,137.196146,16201,B116220100322,16001,八幡小学校,富山市八幡670,3,1
36.745239,137.208062,16201,B116220100331,16001,草島小学校,富山市草島93,3,1
36.749044,137.191036,16201,B116220100340,16001,倉垣小学校,富山市布目4002,3,1
36.714242,137.168901,16201,B116220100359,16001,呉羽小学校,富山市呉羽町6171,3,1
36.720075,137.189065,16201,B116220100368,16001,長岡小学校,富山市長岡9420,3,1
36.729879,137.153097,16201,B116220100377,16001,寒江小学校,富山市本郷中部427,3,1
36.707632,137.131739,16201,B116220100386,16001,老田小学校,富山市中老田317,3,1
36.691578,137.14121,16201,B116220100395,16001,古沢小学校,富山市古沢501,3,1
36.682773,137.120074,16201,B116220100402,16001,池多小学校,富山市西押川1442,3,1
36.752464,137.306775,16201,B116220100411,16001,水橋中部小学校,富山市水橋町568,3,1
36.75213,137.299886,16201,B116220100420,16001,水橋西部小学校,富山市水橋辻ヶ堂1919-2,3,1
36.739743,137.324607,16201,B116220100439,16001,水橋東部小学校,富山市水橋上桜木114,3,1
36.721078,137.292805,16201,B116220100448,16001,三郷小学校,富山市水橋小路345,3,1
36.726495,137.314025,16201,B116220100457,16001,上条小学校,富山市水橋石割99,3,1
36.57801,137.206511,16201,B116220100466,16001,大沢野小学校,富山市高内144,3,1
36.604174,137.204094,16201,B116220100475,16001,大久保小学校,富山市下大久保2430,3,1
36.585315,137.224482,16201,B116220100484,16001,船峅小学校,富山市坂本1733,3,1
36.609618,137.300918,16201,B116220100493,16001,上滝小学校,富山市上滝517,3,1
36.618951,137.278948,16201,B116220100509,16001,大庄小学校,富山市善名453,3,1
36.603202,137.256756,16201,B116220100518,16001,福沢小学校,富山市東福沢46-4,3,1
36.574319,137.384272,16201,B116220100527,16001,小見小学校,富山市小見250,3,1
36.575461,137.13781,16201,B116220100536,16001,八尾小学校,富山市八尾町下笹原5320,3,1
36.600328,137.163051,16201,B116220100545,16001,杉原小学校,富山市八尾町黒田3636,3,1
36.61122,137.137224,16201,B116220100554,16001,保内小学校,富山市八尾町高善寺162,3,1
36.571685,137.158071,16201,B116220100563,16001,樫尾小学校,富山市八尾町小長谷349,3,1
36.660477,137.159242,16201,B116220100572,16001,速星小学校,富山市婦中町速星752,3,1
36.668593,137.175696,16201,B116220100581,16001,鵜坂小学校,富山市婦中町上田島68,3,1
36.677532,137.151675,16201,B116220100590,16001,朝日小学校,富山市婦中町下条5518,3,1
36.629838,137.171644,16201,B116220100607,16001,宮野小学校,富山市婦中町地角399,3,1
36.656223,137.127898,16201,B116220100616,16001,古里小学校,富山市婦中町羽根43,3,1
36.629967,137.094553,16201,B116220100625,16001,音川小学校,富山市婦中町外輪野5959,3,1
36.637476,137.135319,16201,B116220100634,16001,神保小学校,富山市婦中町高日附820,3,1
36.585919,137.080249,16201,B116220100643,16001,山田小学校,富山市山田北山41,3,1
36.535882,137.232871,16201,B116220100652,16001,神通碧小学校,富山市楡原405,3,1
36.759714,137.260508,16201,B116220100661,16001,浜黒崎小学校松風分校,富山市針日225,3,1
36.747263,136.993306,16202,B116220200018,16001,横田小学校,高岡市宮田町9-1,3,1
36.754651,137.015692,16202,B116220200027,16001,成美小学校,高岡市京町1-1,3,1
36.743152,137.003361,16202,B116220200036,16001,博労小学校,高岡市博労本町5-1,3,1
36.743319,137.022553,16202,B116220200045,16001,定塚小学校,高岡市中川町5-1,3,1
36.750513,137.009943,16202,B116220200054,16001,川原小学校,高岡市川原町13-10,3,1
36.750541,137.015776,16202,B116220200063,16001,平米小学校,高岡市本町12-1,3,1
36.735737,137.018915,16202,B116220200072,16001,下関小学校,高岡市東上関8,3,1
36.751096,137.000916,16202,B116220200081,16001,西条小学校,高岡市横田本町1-1,3,1
36.775343,137.007552,16202,B116220200090,16001,万葉小学校,高岡市二上町1100,3,1
36.795369,137.054243,16202,B116220200107,16001,伏木小学校,高岡市伏木東一宮17-1,3,1
36.78862,137.046633,16202,B116220200116,16001,古府小学校,高岡市伏木古府元町4-1,3,1
36.766178,137.042523,16202,B116220200125,16001,能町小学校,高岡市能町南2-110,3,1
36.723848,136.985837,16202,B116220200134,16001,南条小学校,高岡市佐野3838,3,1
36.713378,137.00989,16202,B116220200143,16001,二塚小学校,高岡市二塚1260,3,1
36.743958,137.034553,16202,B116220200152,16001,野村小学校,高岡市野村405,3,1
36.773067,137.078242,16202,B116220200161,16001,牧野小学校,高岡市中曽根246,3,1
36.820893,137.024133,16202,B116220200170,16001,太田小学校,高岡市太田4619,3,1
36.734708,136.965644,16202,B116220200189,16001,五位小学校,高岡市内島3516,3,1
36.719459,136.958673,16202,B116220200198,16001,千鳥丘小学校,高岡市立野1863,3,1
36.683186,136.988394,16202,B116220200205,16001,戸出東部小学校,高岡市戸出大清水33,3,1
36.683158,136.969451,16202,B116220200214,16001,戸出西部小学校,高岡市戸出町5-11-1,3,1
36.683133,137.026111,16202,B116220200223,16001,中田小学校,高岡市常国418,3,1
36.739847,136.99614,16202,B116220200232,16001,木津小学校,高岡市木津312-1,3,1
36.713937,136.931531,16202,B116220200241,16001,福岡小学校,高岡市福岡町大野15,3,1
36.803747,137.397958,16204,B116220400016,16001,星の杜小学校,魚津市住吉203,3,1
36.816404,137.409179,16204,B116220400025,16001,よつば小学校,魚津市本江1041,3,1
36.826976,137.422772,16204,B116220400034,16001,清流小学校,魚津市吉島432,3,1
