Y,X,P29_001,P29_002,P29_003,P29_004,P29_005,P29_006,P29_007
36.685629,137.22524,16201,A116320166010,16011,清水町幼稚園,富山市清水町8-1-21,4,9
36.697823,137.205433,16201,A116320166029,16011,紅葉ガ丘認定こども園,富山市愛宕町2-7-23,4,0
36.67901,137.23036,16201,A116320166038,16011,大泉幼稚園,富山市大泉東部1466,4,0
36.686864,137.212985,16201,A116320166047,16011,愛護幼稚園,富山市山王町4-49,4,0
36.687744,137.218024,16201,A116320166056,16011,富山市五番町幼稚園,富山市古鍛冶町2-22,4,0
36.668406,137.220623,16201,A116320166065,16011,堀川幼稚園,富山市大町1区西部3,4,0
36.705624,137.265233,16201,A116320166074,16011,富山新庄学園富山カワイ幼稚園,富山市向新庄町5-5-6,4,0
36.683976,137.241366,16201,A116320166083,16011,あさひ幼稚園,富山市東石金町8-28,4,0
36.721008,137.138127,16201,A116320166092,16011,富山短期大学付属みどり野幼稚園,富山市願海寺水口444,4,0
36.67092,137.249591,16201,A116320166109,16011,若葉幼稚園,富山市中川原193-2,4,0
36.748347,137.246387,16201,A116320166118,16011,あけぼの幼稚園,富山市中田2-2-20,4,0
36.664756,137.173763,16201,A116320166127,16011,紫幼稚園,富山市婦中町下轡田103-1,4,0
36.746268,137.019226,16202,A116320266019,16011,志貴野幼稚園,高岡市大手町2-13,4,0
36.756746,136.999251,16202,A116320266028,16011,高岡第一学園附属第一幼稚園,高岡市本郷2-1-35,4,0
36.727129,136.98802,16202,A116320266037,16011,高岡第一学園附属第三幼稚園,高岡市佐野645,4,0
36.7678,137.077187,16202,A116320266055,16011,高岡第一学園附属第五幼稚園,高岡市中曽根740-7,4,0
36.701537,136.938071,16202,A116320266064,16011,高岡第一学園福岡ひばり幼稚園,高岡市福岡町江尻50-5,4,0
36.850784,136.961813,16205,A116320566016,16011,アソカ幼稚園,氷見市鞍川1296,4,0
36.759075,137.342982,16206,A116320666015,16011,希望幼稚園,滑川市上小泉2005,4,0
36.725451,137.103455,16211,A116321166018,16011,あおい幼稚園,射水市戸破4401-1,4,0
36.697149,137.096381,16211,A116321166027,16011,第三あおい幼稚園,射水市南太閤山12-22,4,0
36.715342,136.920823,16202,A216220270014,16013,福岡あおぞらこども園,高岡市福岡町土屋115-1,3,1
36.745341,137.230868,16201,A216320176017,16013,さみどり認定こども園,富山市千原崎2-4-23,4,0
36.688032,137.268147,16201,A216320176026,16013,藤ノ木こども園,富山市藤木1291,4,0
36.597408,137.206416,16201,A216320176035,16013,青い鳥保育園,富山市上大久保892,4,0
36.573735,137.20802,16201,A216320176044,16013,大沢野ちゅうおうこども園,富山市西大沢148-3,4,0
36.716046,137.198222,16201,A216320176053,16013,桜谷保育園,富山市石坂新68-3,4,0
36.676496,137.212255,16201,A216320176062,16013,城南もなみ学園,富山市太郎丸本町3-2-6,4,0
36.609335,137.130468,16201,A216320176071,16013,しんでん保育園,富山市八尾町新田236-2,4,0
36.684994,137.186697,16201,A216320176080,16013,神明こども園,富山市高田91-2,4,0
36.599898,137.161784,16201,A216320176099,16013,杉原こども園,富山市八尾町黒田2630,4,0
36.694826,137.219423,16201,A216320176106,16013,のぞみ保育園,富山市東田地方町1-5-27,4,0
36.73144,137.268945,16201,A216320176115,16013,はりはら保育園,富山市針原中町847-1,4,0
36.668303,137.226497,16201,A216320176124,16013,堀川南保育園,富山市大町16-1,4,0
36.716973,137.227699,16201,A216320176133,16013,まつわか保育園,富山市松若町16-37,4,0
36.673413,137.239833,16201,A216320176142,16013,やまむろこども園,富山市山室5-3,4,0
36.660351,137.222146,16201,A216320176151,16013,わかば保育園,富山市堀川町55,4,0
36.706764,137.217893,16201,A216320176160,16013,奥田保育園,富山市奥田寿町10-2,4,0
36.691375,137.252395,16201,A216320176179,16013,常盤台保育園,富山市経堂367-2,4,0
36.644522,137.234607,16201,A216320176188,16013,いちい保育園,富山市布市682-1,4,0
36.676477,137.255704,16201,A216320176197,16013,わかくさ保育園,富山市町村166-4,4,0
36.731152,137.292485,16201,A216320176204,16013,愛和こども園,富山市水橋肘崎57-1,4,0
36.709317,137.231891,16201,A216320176213,16013,めぐみこども園,富山市上赤江町1-12-5,4,0
36.755507,137.195918,16201,A216320176222,16013,四方こども園,富山市四方608-1,4,0
36.71448,137.244523,16201,A216320176231,16013,ひろたこども園,富山市鍋田17-55,4,0
36.755932,137.252092,16201,A216320176240,16013,おおひろたこども園,富山市海岸通165-1,4,0
36.711859,137.263235,16201,A216320176259,16013,新庄さくら保育園,富山市新庄銀座2-7-12,4,0
36.699757,137.255625,16201,A216320176268,16013,ガンバ村保育園,富山市新庄町2-15-33,4,0
36.586453,137.208372,16201,A216320176277,16013,大沢野こども園,富山市上大久保267-5,4,0
36.669021,137.171591,16201,A216320176286,16013,鵜坂保育園,富山市婦中町上田島2,4,0
36.63929,137.136506,16201,A216320176295,16013,じんぼ保育園,富山市婦中町上吉川400,4,0
