緯度,経度,color,color2
36.93293057,137.5025595,2,1
36.88354147,137.5241774,2,1
36.9130501,137.4584816,2,1
36.92465387,137.4886789,2,1
36.91652893,137.4622097,2,1
36.92061101,137.5389388,2,1
36.95621799,137.5546712,2,1
36.91179651,137.4571434,2,1
36.92763749,137.4958209,2,1
36.92881727,137.4974844,2,1
36.94243237,137.4825331,2,1
36.92690418,137.4744126,2,1
36.92085506,137.470746,1,4
36.9319052,137.5013426,2,1
36.93932018,137.5137375,2,1
36.93300433,137.4958519,0,2
36.93312872,137.5028587,2,1
36.94731984,137.5525555,2,1
36.93585676,137.5033939,1,4
36.88985369,137.5096088,2,1
36.88221301,137.5223992,2,1
36.92578562,137.453297,1,4
36.94724267,137.5616417,2,1
36.91983929,137.4559558,0,2
36.93554315,137.508666,1,4
36.94489229,137.5282791,2,1
36.9330575,137.5027495,2,1
36.93038206,137.499372,2,1
36.93334713,137.4942859,1,2
36.9058726,137.4934459,1,4
36.8938797,137.5136183,2,1
36.9265313,137.507956,2,1
36.93216679,137.5015813,2,1
36.92048191,137.4684862,1,4
36.90563902,137.4713957,2,1
36.92225774,137.500419,2,1
36.9217744,137.4357665,2,1
36.90697466,137.4718726,2,1
36.96896805,137.5843602,2,1
36.92989165,137.4987912,2,1
36.95646686,137.5773995,2,1
36.95260232,137.5604013,1,4
36.92917775,137.507105,2,1
36.93466282,137.5048667,2,1
36.91956033,137.4593575,1,4
36.94128896,137.5003777,2,1
36.9160373,137.4616428,2,1
36.93394992,137.4853211,2,1
36.89614321,137.5172363,2,1
36.90244348,137.5637612,2,1
36.93014106,137.4779895,2,1
36.85338702,137.4382224,3,2
36.90677831,137.4333974,1,4
36.85727792,137.441449,3,2
36.88013927,137.4610227,2,1
36.89112172,137.4451242,2,1
36.88238712,137.4347698,3,2
36.8741925,137.4273472,3,2
36.8634282,137.4303438,3,2
36.88610494,137.4255466,1,4
36.8802695,137.4611232,2,1
36.86977151,137.5180855,0,2
36.86610013,137.4426321,2,1
36.8416956,137.5608864,2,1
36.86587763,137.4390902,2,1
36.85835308,137.429659,3,2
36.87484944,137.4869501,3,2
36.85828218,137.5539793,2,1
36.88668572,137.4308604,2,1
36.86606959,137.5243462,2,1
36.87112382,137.4557349,2,1
36.8868879,137.4747858,2,1
36.86021633,137.4443696,3,2
36.86935442,137.450332,3,2
36.86719441,137.5148919,2,1
36.85862002,137.4540285,2,1
36.84984875,137.4360981,3,2
36.85394727,137.4388435,2,2
36.87306127,137.4440156,2,1
36.8947261,137.4678264,2,1
36.86394199,137.4304554,0,2
36.86873197,137.513884,2,1
36.8814264,137.4631572,1,1
36.85203637,137.4373789,3,2
36.87562028,137.516774,2,1
36.86955677,137.429051,3,2
36.88807065,137.424286,2,1
36.90729407,137.4235182,2,1
36.86272386,137.4303468,3,2
36.87041623,137.4442414,2,1
36.88995232,137.4559719,2,1
36.89235318,137.4474454,1,4
36.85312838,137.4380491,3,2
36.87129498,137.4376364,2,1
36.87091299,137.4424258,2,1
36.85350532,137.4622965,1,4
36.86700264,137.4474043,2,1
36.87478216,137.4216533,1,4
36.84830712,137.4953221,1,4
36.88151084,137.4577202,2,1
36.87133204,137.4217998,2,1
36.8707141,137.4592124,2,1
36.87411629,137.4590645,2,1
36.85240005,137.4763674,2,1
36.88033903,137.4527804,4,3
36.87408638,137.4532821,2,1
36.87684054,137.4592212,2,1
36.88317562,137.4495392,2,1
36.8661684,137.4482137,2,1
36.87671344,137.4283753,3,2
36.88036385,137.4492485,3,2
36.8782943,137.4297881,3,2
36.87111479,137.4525975,3,2
36.87465839,137.4501135,2,1
36.87295962,137.4448508,2,1
36.89302951,137.4445683,0,1
36.86959424,137.4422411,2,1
36.88395269,137.4229392,2,1
36.87639128,137.4282135,0,2
36.89052002,137.4665109,2,1
36.87367941,137.4517603,2,1
36.89239915,137.439944,2,1
36.88057947,137.4772163,2,1
36.88555976,137.4503806,2,1
36.86081873,137.5297047,1,3
36.88586001,137.4818238,2,1
36.85846688,137.4297934,3,2
36.88080124,137.4675907,1,3
36.87562986,137.4495969,2,1
36.86013412,137.4446605,2,3
36.86304978,137.4303182,3,2
36.86732601,137.4208391,1,3
36.87087495,137.5153374,2,1
36.8968841,137.4274042,2,1
36.87598889,137.4418856,2,1
36.87285533,137.4477555,2,1
36.87890119,137.459939,4,3
36.86299096,137.5256039,2,1
36.88808364,137.4243531,2,1
36.8601668,137.4442848,3,2
36.87936116,137.4582884,0,3
36.89934426,137.4573527,1,3
36.87073182,137.4461954,0,2
36.82134334,137.4065343,0,2
36.79641668,137.3956953,3,2
36.82415494,137.4182972,4,3
36.80806705,137.404655,3,2
36.84084414,137.4252836,3,2
36.79366025,137.3932182,3,2
36.82730411,137.4022916,3,2
36.80266186,137.4004409,3,2
36.8251844,137.4099657,4,3
36.82694526,137.4151942,3,2
36.824231,137.4136703,4,3
36.8232422,137.4134164,3,2
36.80572929,137.4072828,3,3
36.84088998,137.4364176,2,3
